City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
530,yakeshi,49.2833,120.7333,-22.78,99,100,0.81,CN,1675816743
531,porosozero,62.7191,32.727,-2.22,97,100,4.12,RU,1675816748
532,wageningen,51.9667,5.6667,0.53,83,99,1.54,NL,1675816753
533,san andres,12.5847,-81.7006,27.01,78,20,7.2,CO,1675816754
534,richards bay,-28.783,32.0377,22.89,96,4,1.43,ZA,1675816685
535,honningsvag,70.9821,25.9704,0.86,86,75,11.83,NO,1675816616
536,tiarei,-17.5333,-149.3333,31.01,64,1,2.37,PF,1675816786
537,bairiki,1.3292,172.9752,30.0,66,20,9.26,KI,1675816588
538,simplicio mendes,-7.8539,-41.9103,23.95,59,99,1.45,BR,1675816786
539,miranda de ebro,42.6865,-2.947,3.88,95,100,1.74,ES,1675816787
540,taber,49.8167,-112.1518,6.47,65,100,11.32,CA,1675816753
541,grande prairie,55.1667,-118.8027,0.1,51,75,2.06,CA,1675816787
542,kallithea,37.95,23.7,2.51,86,40,1.79,GR,1675816790
543,puerto colombia,10.9878,-74.9547,26.05,83,5,14.73,CO,1675816791
544,moree,-29.4667,149.85,29.59,34,91,5.22,AU,1675816792
545,mahendranagar,28.9167,80.3333,12.78,57,0,1.91,NP,1675816792
546,usinsk,65.9939,57.5281,-10.07,95,100,11.54,RU,1675816702
547,camana,-16.6228,-72.7111,23.97,84,84,3.08,PE,1675816636
548,general pico,-35.6566,-63.7568,28.3,25,16,2.39,AR,1675816793
549,oparino,59.8518,48.2783,-10.13,93,98,4.44,RU,1675816794
550,sainte-luce,14.4673,-60.9271,24.97,83,40,5.14,MQ,1675816794
551,shingu,33.7333,135.9833,12.2,52,12,2.56,JP,1675816795
552,mosquera,4.7059,-74.2302,15.05,77,20,1.03,CO,1675816795
553,chabahar,25.2919,60.643,21.77,66,10,1.7,IR,1675816795
554,le vauclin,14.5452,-60.8388,25.03,83,40,5.14,MQ,1675816796
555,abha,18.2164,42.5053,11.9,76,0,0.0,SA,1675816733
556,tagusao,9.1924,117.8141,26.66,76,100,2.2,PH,1675816797
557,fandriana,-20.2333,47.3833,13.92,96,80,0.76,MG,1675816797
558,fairbanks,64.8378,-147.7164,-12.27,79,75,1.54,US,1675816797
559,boyolangu,-8.1181,111.8935,24.19,89,100,2.67,ID,1675816798
560,nisia floresta,-6.0911,-35.2086,25.45,76,80,3.12,BR,1675816597
561,ahar,38.4774,47.0699,-1.33,85,100,0.93,IR,1675816798
562,ambatofinandrahana,-20.55,46.8,14.47,94,92,1.79,MG,1675816799
563,vuktyl,63.8567,57.3094,-11.74,93,100,6.34,RU,1675816799
564,constitucion,-35.3333,-72.4167,15.35,73,0,4.07,CL,1675816564
565,bandarbeyla,9.4942,50.8122,25.08,74,98,7.11,SO,1675816800
566,dunedin,-45.8742,170.5036,15.01,52,57,7.18,NZ,1675816517
567,nantucket,41.2835,-70.0995,2.03,81,100,2.06,US,1675816801
568,pangnirtung,66.1451,-65.7125,-33.69,83,6,2.41,CA,1675816801
569,houma,29.5958,-90.7195,21.67,81,40,3.09,US,1675816548
570,sao miguel do araguaia,-13.275,-50.1628,23.08,87,62,0.58,BR,1675816807
571,show low,34.2542,-110.0298,4.16,58,20,4.63,US,1675816817
572,oktyabrskiy,54.4815,53.471,-22.88,100,91,0.68,RU,1675816560
573,bosaso,11.2842,49.1816,23.09,84,35,0.71,SO,1675816823
574,ayan,56.45,138.1667,-29.2,68,19,3.7,RU,1675816824
575,zhangjiakou,40.81,114.8794,-5.78,61,54,1.31,CN,1675816834
576,constantine,36.365,6.6147,8.67,76,75,3.6,DZ,1675816835
577,denpasar,-8.65,115.2167,27.81,78,40,2.06,ID,1675816639
578,isangel,-19.55,169.2667,30.06,79,100,1.03,VU,1675816845
579,yaan,7.3833,8.5667,27.04,15,34,1.85,NG,1675816850
580,viana,-20.3903,-40.4961,26.87,96,100,1.52,BR,1675816853
581,benito juarez,19.385,-99.165,22.9,19,0,3.09,MX,1675816854
